project_id,nome,municipio,uf,responsabilidade,status_segundo_simec,situacao_segundo_tbrasil,logradouro,percentual_de_execucao,ano_convenio,valor_pactuado_com_o_fnde,ano_fim_vigencia_convenio,termo_convenio,data_de_entrega,tipo_data_final,tipo_do_projeto,possui_alerta,possui_resposta
1052302,Educandário Horizonte Novo - Monte Santo - BA,Monte Santo,BA,Municipal,Execução,em andamento,povoado horizonte novo,33.75,2016,994924.24,2019,76943/2016,2019-12-11,Data oficial,Espaço Educativo - 06 Salas,0,0
1052303,Escola Santa Maria - Monte Santo - BA,Monte Santo,BA,Municipal,Execução,em andamento,fazenda lage do antônio,35.19,2016,995727.32,2019,76662/2016,2019-12-11,Data oficial,Espaço Educativo - 06 Salas,0,0
1052304,São João dos Campos - Monte Santo - BA,Monte Santo,BA,Municipal,Execução,em andamento,povoado itapicuru,31.37,2016,994420.45,2019,76661/2016,2019-12-11,Data oficial,Espaço Educativo - 06 Salas,0,0
1052305,Senhor do Bonfim - Monte Santo - BA,Monte Santo,BA,Municipal,Execução,em andamento,pov. lage grande,25.55,2016,994452.14,2019,78117/2016,2019-12-11,Data oficial,Espaço Educativo - 06 Salas,0,0
1052464,Feira da Serra,Ribeira do Pombal,BA,Municipal,Concluída,obra conclu�da,rua do raspador,100,2016,1021955.6,2018,76659/2016,2018-03-02,Data oficial,Espaço Educativo - 06 Salas,0,0
1052465,Nova Esperança - Ribeira do Pombal - BA,Ribeira do Pombal,BA,Municipal,Concluída,obra conclu�da,povoado nova esperança,99.99,2016,1021955.6,2019,76658/2016,2018-09-01,Data oficial,Espaço Educativo - 06 Salas,0,0
1052466,Escola 12 Salas Parque Juarez Queiroz - Cascavel - CE,Cascavel,CE,Municipal,Contratação,n�o iniciada e j� devia ter sido entregue,rua e,0,2016,3239943,2019,76944/2016,2018-05-05,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 12 Salas,0,0
1052467,PREFEITURA MUNICIPAL DE SOLEDADE - Soledade - RS,Soledade,RS,Municipal,Obra Cancelada,obra cancelada,rincão dos coelhos,0,2016,1010899.04,2018,76657/2016,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 06 Salas,0,0
1052469,Prefeitura Municipal de São Borja - São Borja - RS,São Borja,RS,Municipal,Obra Cancelada,obra cancelada,"rua joão lunardine, extensão da rua arthur oscar",0,2016,3533059.32,2018,76656/2016,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 12 Salas,0,0
1052470,Escola Santa Rita - Construção - Torres - RS,Torres,RS,Municipal,Em Reformulação,n�o iniciada,rua alvacir josé flor,0,2016,3532857.87,2019,76655/2016,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 12 Salas,0,0
1052472,ESCOLA DE TEMPO INTEGRAL - Viçosa - MG,Viçosa,MG,Municipal,Execução,em andamento,rua estrada do centev,7.53,2016,3494896.79,2019,76945/2016,2020-04-01,Data oficial,Espaço Educativo - 12 Salas,0,0
1052558,Agua Doce - Cristópolis - BA,Cristópolis,BA,Municipal,Execução,em andamento,"rua são joão, s/n",82.98,2016,1021955.05,2019,76663/2016,2019-06-28,Data oficial,Espaço Educativo - 06 Salas,0,0
1052668,EMENDA PARLAMENTAR 26990005 - Itapipoca - CE,Itapipoca,CE,Municipal,Planejamento pelo proponente,n�o iniciada,estrada olho dagua,0,2016,1234014.64,2019,76877/2016,,Estimada (data contrato + execu��o cron padr�o),Projeto 2 Convencional,0,0
1052715,EMENDA 28990003 - Vila Pavão - ES,Vila Pavão,ES,Municipal,Contratação,n�o iniciada,rua adeclinio durães,0,2016,1220289.96,2019,76879/2016,,Estimada (data contrato + execu��o cron padr�o),Projeto 2 Convencional,0,0
1053396,EMENDA PARLAMENTAR 27890003 - São Gonçalo - RJ,São Gonçalo,RJ,Municipal,Planejamento pelo proponente,n�o iniciada,rua mílton de brito araújo,0,2016,1419046.56,2019,77558/2016,,Estimada (data contrato + execu��o cron padr�o),Projeto 2 Convencional,0,0
1053842,POVOADO BACURI - Riachão - MA,Riachão,MA,Municipal,Inacabada,paralisada,rua 02,38.69,2016,1021859.81,2019,78112/2016,2019-08-14,Data oficial,Espaço Educativo - 06 Salas,0,0
1053853,Pov. Arraial - Brejo - MA,Brejo,MA,Municipal,Contratação,n�o iniciada,rua nova,0,2016,1022226.14,2019,78111/2016,,Estimada (data contrato + execu��o cron padr�o),Espaço Educativo - 06 Salas,0,0
